transaction_id,user_id,amount,date_time,location,ip_address,device,transaction_type,frequency_last_24h,fraud
1,483,2990.28,2024-07-27 19:30:14,Miami,233.77.167.63,phone,online,2,0
2,486,2863.24,2025-01-05 00:33:52,Chicago,77.77.49.124,phone,in-person,2,0
3,286,760.75,2024-10-13 07:10:55,Chicago,49.242.147.216,phone,online,1,0
4,130,824.71,2025-05-07 15:19:06,Constanta,233.143.71.98,laptop,in-person,3,0
5,421,2622.78,2024-09-08 06:46:45,Sydney,136.243.70.57,laptop,online,2,0
6,426,1261.65,2024-09-22 15:11:57,Constanta,195.201.157.23,phone,in-person,2,0
7,383,2944.51,2025-01-15 13:38:33,London,96.89.204.147,phone,online,2,0
8,358,1663.31,2024-09-07 22:30:59,Slatina,196.118.133.160,phone,online,1,0
9,35,785.39,2025-03-19 09:32:16,Los Angeles,131.32.164.88,computer,online,4,0
10,30,1051.34,2024-06-07 10:23:47,Sydney,130.160.84.218,phone,online,0,0
11,258,1971.37,2024-08-19 13:22:34,Chicago,1.43.44.39,phone,online,4,0
12,119,1011.46,2024-07-26 14:27:57,Chicago,208.129.148.251,laptop,in-person,0,0
13,370,717.54,2024-07-24 08:03:22,New York,197.234.65.212,laptop,online,0,0
14,316,2553.89,2024-09-15 01:31:33,Craiova,237.183.193.188,laptop,in-person,2,0
15,143,1602.58,2024-08-31 09:56:02,Bucharest,39.192.232.101,phone,online,2,0
16,106,258.74,2025-01-05 11:31:32,Sydney,131.160.113.103,computer,in-person,1,0
17,92,1305.73,2024-05-24 08:34:30,Sydney,236.218.32.27,computer,online,3,0
18,248,420.63,2024-08-12 05:13:47,Cluj,53.8.21.238,laptop,in-person,1,0
19,375,1930.95,2024-11-05 09:08:18,Constanta,126.29.229.252,computer,in-person,4,0
20,209,2089.35,2024-09-24 21:16:45,Chicago,242.80.204.127,computer,online,4,0
21,371,1700.99,2025-03-17 11:31:21,Miami,96.82.127.62,phone,in-person,0,0
22,202,1466.93,2025-04-01 18:04:28,Paris,75.199.53.88,laptop,in-person,1,0
23,268,570.54,2024-11-18 21:35:49,Craiova,94.155.116.208,computer,in-person,3,0
24,78,1763.68,2024-06-11 06:39:35,Tokyo,236.1.88.110,phone,online,0,0
25,139,1631.56,2025-04-22 13:48:08,Chicago,163.10.120.137,phone,online,2,0
26,82,1285.38,2025-04-11 23:34:56,Craiova,49.83.243.161,phone,online,2,0
27,211,1080.27,2024-06-02 20:30:11,Sydney,181.103.79.107,phone,in-person,3,0
28,167,1958.73,2024-08-24 01:02:11,Sydney,166.209.123.134,laptop,online,3,0
29,264,265.73,2025-03-17 23:19:35,Berlin,75.151.73.216,computer,online,1,0
30,44,271.55,2024-11-26 01:08:22,Berlin,56.160.73.102,computer,in-person,2,0
31,232,913.95,2025-02-23 04:46:26,Cluj,127.27.170.36,laptop,online,1,0
32,24,1116.19,2024-07-08 06:45:57,Chicago,31.82.119.239,computer,in-person,5,0
33,30,1571.75,2024-06-22 10:55:45,Bucharest,91.46.77.159,laptop,online,4,0
34,441,2767.48,2025-04-14 23:17:14,Miami,111.240.224.209,computer,in-person,3,0
35,440,2130.77,2024-10-26 05:13:07,Sydney,10.55.128.249,laptop,in-person,3,0
36,288,1001.9,2024-06-04 13:29:29,Craiova,59.83.175.33,phone,online,2,0
37,190,1508.88,2024-11-09 05:16:20,Chicago,133.27.208.249,laptop,in-person,3,0
38,354,777.65,2024-11-29 01:20:15,Paris,105.254.61.230,computer,in-person,1,0
39,348,2130.72,2025-04-23 15:19:26,Berlin,221.221.234.181,laptop,online,0,0
40,344,127.59,2024-08-02 18:51:37,London,54.11.4.170,phone,in-person,2,0
41,37,1416.86,2025-05-05 23:42:00,Miami,85.174.204.91,computer,online,4,0
42,65,1047.89,2024-09-11 02:02:31,Craiova,173.72.44.15,phone,in-person,1,0
43,496,1921.92,2024-08-30 12:08:04,Los Angeles,126.208.239.71,phone,online,2,0
44,388,2637.07,2025-04-12 19:37:45,Berlin,149.233.252.204,computer,online,2,0
45,253,1907.87,2024-10-31 08:22:02,Tokyo,251.228.179.162,computer,online,2,0
46,125,748.62,2025-01-16 04:37:58,Cluj,204.116.182.246,laptop,online,2,0
47,134,727.45,2024-06-13 15:30:48,Chicago,55.204.192.37,computer,online,2,0
48,144,1029.9,2024-09-18 21:03:00,Tokyo,186.176.212.87,phone,in-person,1,0
49,120,2724.19,2025-02-16 18:59:22,Miami,16.161.29.204,laptop,in-person,0,0
50,332,744.89,2024-09-25 05:10:45,Constanta,49.71.160.5,phone,online,2,0
51,399,2958.99,2025-02-01 07:48:52,Berlin,59.106.234.63,computer,in-person,4,0
52,372,559.03,2025-02-20 22:31:27,Berlin,229.95.186.80,computer,in-person,3,0
53,338,2690.28,2025-03-19 05:37:54,Bucharest,251.44.63.7,laptop,online,1,0
54,108,633.7,2024-12-24 02:38:32,Paris,208.167.34.201,laptop,in-person,4,0
55,390,1714.54,2025-04-13 23:47:01,Miami,12.99.148.33,phone,in-person,1,0
56,35,1345.31,2025-04-06 18:53:53,Sydney,196.197.166.20,phone,in-person,1,0
57,310,2669.18,2024-08-08 12:28:31,London,1.21.16.55,phone,online,0,0
58,372,496.39,2024-07-24 17:56:07,Chicago,4.178.2.96,computer,in-person,1,0
59,73,1721.63,2024-09-04 03:09:39,London,95.94.172.23,phone,in-person,1,1
60,6,187.79,2024-12-08 01:03:15,Chicago,232.72.26.11,computer,online,2,0
61,227,2006.43,2024-10-14 15:20:14,Craiova,134.133.99.158,phone,online,1,0
62,109,1634.65,2024-07-07 13:21:09,Chicago,88.137.63.121,computer,in-person,2,0
63,262,2487.77,2024-10-18 11:13:44,Los Angeles,152.232.93.196,laptop,online,2,0
64,60,1040.11,2024-05-27 03:09:11,Los Angeles,51.105.66.82,phone,online,5,0
65,84,2530.32,2024-11-07 22:18:44,Tokyo,222.14.194.152,phone,in-person,3,0
66,13,1433.5,2024-10-31 06:01:38,Tokyo,122.238.23.159,computer,online,0,0
67,399,2534.64,2025-03-10 01:39:21,Berlin,27.235.75.151,laptop,online,1,0
68,252,896.4,2025-01-23 18:52:06,New York,159.88.4.78,computer,online,2,0
69,81,108.55,2024-11-21 10:48:41,Chicago,119.134.118.225,phone,online,3,0
70,156,2082.6,2025-03-14 14:40:25,Paris,126.30.59.120,phone,online,3,0
71,295,1714.43,2025-03-24 22:13:20,London,221.181.114.37,laptop,online,2,0
72,345,876.34,2024-07-21 17:06:43,London,61.214.95.178,computer,online,1,1
73,481,457.93,2025-01-07 15:26:49,Paris,98.87.228.243,phone,online,5,0
74,236,2321.63,2024-12-07 11:57:40,Chicago,206.204.130.208,computer,in-person,1,0
75,6,125.62,2024-06-03 19:36:39,Tokyo,36.76.118.169,laptop,in-person,0,0
76,75,1597.98,2025-04-15 01:44:37,Miami,11.97.157.178,phone,in-person,3,0
77,77,1401.12,2025-02-28 14:11:05,New York,218.56.42.86,phone,in-person,1,0
78,279,2060.59,2024-10-02 22:50:53,Sydney,134.17.35.237,phone,online,5,1
79,13,1926.09,2024-12-20 22:40:00,Bucharest,29.38.142.188,laptop,online,0,0
80,249,2705.58,2025-03-20 20:05:03,Paris,59.23.32.133,computer,online,2,0
81,63,2679.22,2025-02-05 18:40:43,London,10.246.187.69,laptop,in-person,0,0
82,298,1234.56,2024-10-19 14:45:51,Sydney,46.117.245.45,laptop,online,2,0
83,147,319.0,2024-08-13 18:24:26,Constanta,250.178.62.26,computer,online,1,0
84,179,948.63,2024-06-25 17:05:11,Bucharest,184.181.12.63,phone,online,4,0
85,83,2613.46,2025-01-08 08:22:31,Bucharest,9.28.149.151,computer,online,1,0
86,186,745.51,2024-07-05 21:19:31,Miami,57.233.240.152,laptop,online,2,0
87,303,2497.72,2024-06-23 07:19:01,Cluj,17.232.250.93,laptop,online,1,0
88,59,1433.76,2024-07-16 17:22:21,Los Angeles,5.60.151.233,computer,in-person,2,0
89,280,285.18,2025-01-03 19:37:35,New York,171.228.150.158,laptop,online,0,0
90,406,2497.99,2024-11-11 10:04:04,Miami,87.86.189.218,phone,online,4,0
91,264,103.56,2025-01-29 06:27:32,New York,226.228.121.170,phone,in-person,3,0
92,338,334.78,2024-11-11 03:40:57,London,72.149.119.117,computer,in-person,1,0
93,64,1974.96,2025-04-29 23:19:37,London,147.96.183.237,phone,online,1,0
94,380,2648.38,2024-12-20 01:20:27,Bucharest,155.112.221.52,phone,in-person,0,1
95,1,1210.2,2024-08-13 23:25:35,Chicago,177.250.51.58,computer,in-person,2,0
96,219,2965.48,2025-02-04 12:49:37,Miami,57.220.40.89,laptop,in-person,3,0
97,173,1360.2,2024-11-24 08:44:50,Chicago,228.162.10.25,phone,online,1,0
98,442,1211.07,2024-09-01 21:48:18,New York,174.41.65.191,phone,in-person,0,0
99,399,2125.18,2025-03-28 12:27:51,Paris,238.235.205.30,computer,online,2,0
