transaction_id,user_id,amount,date_time,location,ip_address,device,transaction_type,frequency_last_24h,fraud
83,83,2613.46,2024-06-25 18:42:09,Miami,26.184.181.12,computer,online,0,1
897,72,1843.2,2025-03-18 01:07:43,Constanta,78.43.184.159,laptop,online,4,0
877,213,485.75,2024-06-25 06:21:15,New York,247.180.23.29,laptop,in-person,2,0
150,147,504.87,2024-08-27 01:57:34,Cluj,183.75.134.61,computer,online,2,0
184,170,1953.71,2024-10-25 17:07:42,Los Angeles,45.139.146.201,laptop,online,3,0
160,212,800.9,2024-08-12 04:54:31,Craiova,34.74.102.50,computer,in-person,1,0
55,35,2669.18,2024-09-06 14:32:47,Chicago,33.196.197.166,phone,in-person,1,1
348,137,447.8,2025-01-17 12:22:14,Tokyo,89.71.6.237,laptop,in-person,2,0
453,5,496.32,2025-05-01 14:21:33,Chicago,198.146.55.98,phone,online,4,0
789,49,1642.3,2024-06-20 08:36:22,Miami,39.137.99.236,laptop,in-person,5,0
667,225,487.31,2024-06-26 21:51:48,Sydney,86.37.162.42,phone,online,2,0
69,39,1714.43,2025-01-10 02:49:57,London,225.126.30.59,laptop,online,3,0
780,108,1048.54,2024-07-03 09:26:47,New York,130.24.53.149,computer,in-person,2,0
698,188,172.06,2024-10-06 12:32:14,London,0.13.223.115,computer,online,2,0
362,48,1270.02,2024-08-03 21:41:05,Tokyo,15.161.0.117,computer,online,1,0
717,117,357.37,2024-09-30 13:18:59,Bucharest,12.121.122.70,computer,in-person,2,0
887,26,2829.14,2024-09-23 02:33:55,Constanta,105.246.238.96,computer,online,0,1
382,143,1156.21,2025-03-17 19:33:15,Craiova,10.184.218.160,laptop,in-person,2,0
514,133,620.86,2025-02-24 10:35:09,Chicago,249.245.108.62,computer,online,1,0
709,20,1206.65,2024-08-05 08:12:10,Tokyo,247.115.93.81,phone,in-person,2,0
996,15,137.03,2024-10-22 06:28:06,Paris,0.37.206.148,computer,in-person,5,0
599,108,2067.48,2024-12-24 03:11:21,Craiova,147.100.50.185,computer,online,0,0
741,203,2801.97,2024-11-16 02:44:03,Los Angeles,67.209.131.131,phone,online,0,1
28,167,271.55,2024-07-10 18:09:05,Cluj,134.75.151.73,computer,online,4,0
580,39,982.35,2024-10-03 19:13:18,Berlin,165.77.160.238,laptop,in-person,2,0
389,231,2131.96,2025-02-10 22:12:09,New York,2.153.222.162,laptop,in-person,0,0
985,130,552.23,2025-01-10 10:59:57,Paris,214.128.203.210,phone,online,5,0
301,167,2043.88,2024-06-07 21:28:18,Miami,9.97.42.78,phone,online,4,0
842,95,2756.98,2025-05-08 22:41:52,Slatina,149.26.220.243,computer,online,5,1
906,13,891.66,2024-07-23 15:05:16,Tokyo,87.218.74.224,phone,online,1,0
853,8,2074.09,2024-08-14 12:02:04,Miami,196.46.18.56,computer,online,0,0
548,217,1723.64,2025-02-15 13:15:43,Cluj,230.159.88.231,phone,in-person,1,0
903,91,975.07,2025-01-15 23:12:28,Sydney,75.80.13.180,computer,online,3,0
549,170,49.71,2024-08-19 16:52:47,Cluj,175.196.214.13,laptop,in-person,4,0
907,126,706.99,2024-09-22 08:15:39,London,68.79.106.73,phone,online,3,0
529,104,1200.61,2024-06-10 05:15:05,Craiova,194.17.99.45,phone,in-person,1,0
991,162,616.73,2025-03-27 00:47:58,Miami,123.132.91.139,computer,in-person,4,0
12,119,2553.89,2025-01-07 22:54:40,Bucharest,251.197.234.65,laptop,online,2,1
340,99,2614.56,2024-07-31 01:33:43,Paris,220.227.143.61,laptop,in-person,2,1
7,127,785.39,2024-08-22 00:45:42,Sydney,147.196.118.133,computer,online,2,0
523,73,654.23,2025-05-08 18:39:40,Sydney,221.88.52.248,computer,online,2,0
875,130,1691.33,2024-11-06 13:21:24,New York,138.104.157.41,laptop,in-person,1,0
949,37,1009.12,2025-03-08 09:19:27,Miami,165.211.215.63,phone,online,2,0
832,102,1438.57,2025-04-28 20:32:05,Constanta,16.19.197.86,laptop,in-person,2,0
32,24,2767.48,2024-06-07 00:52:37,Sydney,239.91.46.77,computer,in-person,1,1
642,85,2816.91,2024-11-12 08:32:05,Paris,83.39.92.220,laptop,in-person,3,1
710,98,2569.03,2024-07-16 15:10:15,Berlin,232.224.95.140,computer,in-person,3,1
115,22,1710.0,2024-10-01 02:36:14,Paris,49.130.74.209,computer,online,0,0
324,14,2896.52,2024-06-13 20:46:26,Los Angeles,81.175.130.133,laptop,online,0,1
869,39,736.13,2024-11-01 18:53:10,Slatina,100.47.164.203,laptop,in-person,0,0
861,170,1286.92,2025-02-14 06:06:55,Craiova,71.76.11.30,phone,online,1,0
203,109,1283.35,2024-09-19 13:46:03,Slatina,230.130.73.161,laptop,online,3,0
581,48,432.38,2024-05-29 04:03:15,Craiova,181.118.238.167,laptop,online,4,0
763,52,1722.25,2024-08-29 14:21:47,Sydney,181.232.69.82,phone,in-person,1,0
391,133,1585.11,2024-05-29 13:06:37,Tokyo,207.216.34.216,laptop,online,1,0
415,239,1510.26,2024-06-19 09:45:18,Berlin,73.231.73.198,phone,online,3,1
437,65,2388.73,2025-03-25 18:36:37,Los Angeles,113.120.242.135,phone,online,1,1
101,228,2400.2,2024-06-13 00:36:51,Paris,53.147.28.140,phone,online,2,1
